site_id,event_id,sample_date,year,month,dist_nearest_discharge_km,site_type,n_organic_detects,total_organic_conc,ahr_fold_induction,ahr_significant,ahr_qc_flag
SITE-01,1,2013-01-15,2013,1,1.5,near_field,14,29.150917935088394,2.7911038764229734,TRUE,Flag-matrix
SITE-01,2,2013-02-15,2013,2,1.5,near_field,13,17.302317857930667,2.4426932806804005,TRUE,Pass
SITE-01,3,2013-03-15,2013,3,1.5,near_field,8,12.861028326438639,0.5,FALSE,Pass
SITE-01,4,2013-04-15,2013,4,1.5,near_field,8,15.841764582257742,0.6586232216671246,FALSE,Pass
SITE-01,5,2013-05-15,2013,5,1.5,near_field,7,14.304961002933808,0.8617452080827581,FALSE,Pass
SITE-01,6,2013-06-15,2013,6,1.5,near_field,10,35.626828099248534,2.562038444776589,TRUE,Pass
SITE-01,7,2013-07-15,2013,7,1.5,near_field,16,32.901650925969435,2.525021329990678,TRUE,Pass
SITE-01,8,2013-08-15,2013,8,1.5,near_field,11,23.951147513687452,0.5,FALSE,Pass
SITE-01,9,2013-09-15,2013,9,1.5,near_field,11,13.1029466310126,0.9107604677839503,FALSE,Pass
SITE-01,10,2013-10-15,2013,10,1.5,near_field,17,20.57784456916313,2.3997301362683436,TRUE,Pass
SITE-01,11,2013-11-15,2013,11,1.5,near_field,14,21.371111312420727,0.6244511832806814,FALSE,Pass
SITE-01,12,2013-12-15,2013,12,1.5,near_field,15,18.647703697056482,0.9391895542522857,FALSE,Pass
SITE-01,13,2014-01-15,2014,1,1.5,near_field,8,7.314139395297006,1.6475760578558858,TRUE,Pass
SITE-01,14,2014-02-15,2014,2,1.5,near_field,12,18.868802149066056,0.5,FALSE,Pass
SITE-01,15,2014-03-15,2014,3,1.5,near_field,14,20.797344004334764,0.7697868319721954,FALSE,Pass
SITE-01,16,2014-04-15,2014,4,1.5,near_field,11,15.548194391889293,1.07862031381456,FALSE,Pass
