child_id,parent_id,relation,source,assertion_mode,reviewed_by,reviewed_at,notes
AMH:0000001,ENVO:02000020,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Local specificity retained pending an upstream matrix term.
AMH:0000002,ENVO:02000020,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Local specificity retained pending an upstream matrix term.
AMH:0000003,ENVO:00002006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Reviewed water-based compatibility term.
AMH:0000004,ENVO:00002007,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Local analytical-matrix specialization.
AMH:0000005,ENVO:00002007,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Local analytical-matrix specialization.
AMH:0000006,ENVO:00010483,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Structural parent for non-aqueous compatibility terms.
AMH:0000007,AMH:0000006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,No aqueous unit route.
AMH:0000008,AMH:0000006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,No aqueous unit route.
AMH:0000009,AMH:0000006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,No aqueous unit route.
AMH:0000010,AMH:0000006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,No aqueous unit route.
AMH:0000011,AMH:0000006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,No aqueous unit route.
AMH:0000012,AMH:0000006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,No aqueous unit route.
AMH:0000013,AMH:0000006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,No aqueous unit route.
AMH:0000014,AMH:0000006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,No aqueous unit route.
AMH:0000015,ENVO:00002007,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,A real mixture is one term rather than separate coverage assertions.
AMH:0000016,AMH:0000006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,A real mixture is one term.
AMH:0000017,ENVO:00002006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Reviewed local laboratory-water term.
AMH:0000018,ENVO:00002006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Reviewed local laboratory-water term.
AMH:0000019,ENVO:00002006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Trademark retained only as source terminology.
AMH:0000020,ENVO:00002042,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Reviewed water-based matrix term.
AMH:0000021,ENVO:00010483,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Solid routing follows analyzed fraction.
AMH:0000022,ENVO:00010483,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Solid routing follows analyzed fraction.
AMH:0000023,ENVO:00002005,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Compatibility specialization.
AMH:0000024,ENVO:00010483,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Gas-phase compatibility term.
AMH:0000025,ENVO:00010483,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Physical complexity is retained in definition; CONCERT compatibility is air.
AMH:0000026,ENVO:00010483,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Legacy compatibility grouping retained as a reviewed terminal fallback.
AMH:0000027,AMH:0000006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,No aqueous route without explicit water evidence.
AMH:0000028,ENVO:02000020,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Reviewed compatibility grouping.
AMH:0000029,ENVO:00002011,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,Distinguishes water from the lake feature itself.
AMH:0000030,AMH:0000006,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,No aqueous unit route.
AMH:0000031,AMH:0000050,is_a,amosharmonizer,reviewed,seanthimons,2026-09-03,Reviewed tissue grouping under body-derived material.
AMH:0000031,ENVO:00010483,is_a,amosharmonizer,reviewed,seanthimons,2026-08-10,The prior ENVO identifier now denotes an ecosystem conversion process.
